"AdjClose.priceSS" "AdjClose.priceSZSA"
"1091" 1637.14 NA
"1092" 1637.1 NA
"1093" 1678.07 NA
"1094" 1691.64 NA
"1095" 1694.74 NA
"1096" 1736.22 NA
"1097" 1745.54 NA
"1098" 1745.1 NA
"1099" 1717.26 NA
"1100" 1747.87 NA
"1101" 1755.69 NA
"1102" 1741.69 NA
"1103" 1740.05 NA
"1104" 1736.48 NA
"1105" 1734.05 NA
"1106" 1719.67 NA
"1107" 1724.28 NA
"1108" 1741.62 NA
"1109" 1758.15 NA
"1110" 1768.65 NA
"1111" 1766.48 NA
"1112" 1777.52 NA
"1113" 1774.55 NA
"1114" 1770.28 NA
"1115" 1727.35 NA
"1116" 1722.99 NA
"1117" 1715.14 NA
"1118" 1697.16 NA
"1119" 1679.08 NA
"1120" 1693.86 NA
"1121" 1675.89 NA
"1122" 1669.42 NA
"1123" 1651.58 NA
"1124" 1657.79 NA
"1125" 1635.5 NA
"1126" 1635.5 NA
"1127" 1611.86 NA
"1128" 1606.8 NA
"1129" 1579.45 NA
"1130" 1595.59 NA
"1131" 1595.59 NA
"1132" 1595.59 NA
"1133" 1595.59 NA
"1134" 1595.59 NA
"1135" 1595.59 NA
"1136" 1560.21 NA
"1137" 1568.06 NA
"1138" 1603.77 NA
"1139" 1597.57 NA
